"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","GET /products?limit=0","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","failed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","478","GET /wrong-url — should return 404","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:38 GMT-03:00 2026","","get.spec.js","",""
"","1160","GET /products — list of products","chromium","Thu Jan 08 19:30:36 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","285","GET /products/category/electronics","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","939","GET /products/{id} — valid product","chromium","Thu Jan 08 19:30:36 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","354","GET /products — fields and types","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","1463","E2E: POST → PUT → DELETE product","chromium","Thu Jan 08 19:30:36 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","cud.spec.js","",""
"","490","GET /products?limit=1000","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:38 GMT-03:00 2026","","get.spec.js","",""
"","277","GET /products?limit=5","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","912","GET /products/{id} — non-existent product","chromium","Thu Jan 08 19:30:36 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","292","GET /products/{id} — negative ID","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","278","GET /products/{id} — ID = 0","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:37 GMT-03:00 2026","","get.spec.js","",""
"","760","GET /products — multiple requests (idempotency)","chromium","Thu Jan 08 19:30:37 GMT-03:00 2026","passed","Thu Jan 08 19:30:38 GMT-03:00 2026","","get.spec.js","",""
